step: 1464, loss: 0.9140, P: 0.2923, R: 0.6190, F1: 0.3971 (common: 3212.0, retrieved: 10989.0, relevant: 5189.0)
 
step: 1647, loss: 0.8763, P: 0.2848, R: 0.6204, F1: 0.3903 (common: 3219.0, retrieved: 11304.0, relevant: 5189.0)
 
step: 1830, loss: 0.8721, P: 0.2973, R: 0.6283, F1: 0.4036 (common: 3260.0, retrieved: 10967.0, relevant: 5189.0)
 
step: 2013, loss: 0.7557, P: 0.3220, R: 0.6414, F1: 0.4287 (common: 3328.0, retrieved: 10336.0, relevant: 5189.0)
 
step: 2196, loss: 0.7513, P: 0.3193, R: 0.6389, F1: 0.4258 (common: 3315.0, retrieved: 10381.0, relevant: 5189.0)
 
step: 2379, loss: 0.7484, P: 0.3034, R: 0.6381, F1: 0.4112 (common: 3311.0, retrieved: 10914.0, relevant: 5189.0)
 
step: 2562, loss: 0.7673, P: 0.3158, R: 0.6444, F1: 0.4239 (common: 3344.0, retrieved: 10589.0, relevant: 5189.0)
 
step: 2745, loss: 0.7419, P: 0.3228, R: 0.6479, F1: 0.4309 (common: 3362.0, retrieved: 10416.0, relevant: 5189.0)
 
threshold: 7.5, step: 2757, P: 0.3228, R: 0.6479, F1: 0.4309 (common: 3362.0, retrieved: 10416.0, relevant: 5189.0)
 
step: 2928, loss: 0.7029, P: 0.2577, R: 0.6204, F1: 0.3642 (common: 3218.0, retrieved: 12486.0, relevant: 5187.0)
 
step: 3111, loss: 1.7538, P: 0.0013, R: 0.0114, F1: 0.0023 (common: 59.0, retrieved: 46273.0, relevant: 5187.0)
 
step: 3294, loss: 15.3525, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 3477, loss: 23.8051, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 3660, loss: 25.0414, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 3843, loss: 26.2582, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 4026, loss: 27.5886, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 4209, loss: 29.1995, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 4392, loss: 30.9603, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 4575, loss: 32.9885, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 2.0, relevant: 5187.0)
 
step: 4758, loss: 35.2877, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 2.0, relevant: 5187.0)
 
step: 4941, loss: 37.7698, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 5124, loss: 40.5457, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 5307, loss: 43.6746, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 5490, loss: 47.0917, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
threshold: 7.5, step: 5502, P: 0.2577, R: 0.6204, F1: 0.3642 (common: 3218.0, retrieved: 12486.0, relevant: 5187.0)
 
step: 3111, loss: 1.7677, P: 0.0011, R: 0.0093, F1: 0.0019 (common: 48.0, retrieved: 45353.0, relevant: 5187.0)
 
step: 3294, loss: 16.3158, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 3477, loss: 23.9515, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 3294, loss: 16.3155, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 3477, loss: 23.9571, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 3660, loss: 25.0912, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 3843, loss: 26.2546, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 4026, loss: 27.5886, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 4209, loss: 29.2222, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 2.0, relevant: 5187.0)
 
step: 4392, loss: 30.9593, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 4575, loss: 32.9336, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 4758, loss: 35.0875, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 4941, loss: 37.6207, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 5124, loss: 40.5013, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 5307, loss: 43.5016, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 5490, loss: 46.9018, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 5673, loss: 50.6500, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 5856, loss: 54.7850, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
threshold: 7.5, step: 5868, P: 0.0025, R: 0.0168, F1: 0.0044 (common: 87.0, retrieved: 34152.0, relevant: 5187.0)
 
step: 3294, loss: 16.3155, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
step: 3477, loss: 23.9571, P: 0.0000, R: 0.0000, F1: 0.0000 (common: 0.0, retrieved: 0.0, relevant: 5187.0)
 
